 Theta 	 Phi 	 Gain(dB)     	   Gain     	    Phase(deg)
0.0 	 0.0 	 -300.0     	   -300.0     	    158.2015
0.0 	 10.0 	 -300.0     	   -300.0     	    162.7602
0.0 	 20.0 	 -300.0     	   -300.0     	    164.0907
0.0 	 30.0 	 -300.0     	   -300.0     	    164.754
0.0 	 40.0 	 -300.0     	   -300.0     	    165.1715
0.0 	 50.0 	 -300.0     	   -300.0     	    165.4737
0.0 	 60.0 	 -300.0     	   -300.0     	    165.7155
0.0 	 70.0 	 -300.0     	   -300.0     	    165.9247
0.0 	 80.0 	 -300.0     	   -300.0     	    166.1185
0.0 	 90.0 	 -300.0     	   -300.0     	    166.3096
0.0 	 100.0 	 -300.0     	   -300.0     	    166.5101
0.0 	 110.0 	 -300.0     	   -300.0     	    166.7346
0.0 	 120.0 	 -300.0     	   -300.0     	    167.0049
0.0 	 130.0 	 -300.0     	   -300.0     	    167.3607
0.0 	 140.0 	 -300.0     	   -300.0     	    167.8877
0.0 	 150.0 	 -300.0     	   -300.0     	    168.8226
0.0 	 160.0 	 -300.0     	   -300.0     	    171.1659
0.0 	 170.0 	 -300.0     	   -300.0     	    -168.0484
0.0 	 180.0 	 -300.0     	   -300.0     	    -21.79852
0.0 	 190.0 	 -300.0     	   -300.0     	    -17.23982
0.0 	 200.0 	 -300.0     	   -300.0     	    -15.90935
0.0 	 210.0 	 -300.0     	   -300.0     	    -15.24598
0.0 	 220.0 	 -300.0     	   -300.0     	    -14.82854
0.0 	 230.0 	 -300.0     	   -300.0     	    -14.52629
0.0 	 240.0 	 -300.0     	   -300.0     	    -14.28455
0.0 	 250.0 	 -300.0     	   -300.0     	    -14.07533
0.0 	 260.0 	 -300.0     	   -300.0     	    -13.88154
0.0 	 270.0 	 -300.0     	   -300.0     	    -13.69042
0.0 	 280.0 	 -300.0     	   -300.0     	    -13.48991
0.0 	 290.0 	 -300.0     	   -300.0     	    -13.26542
0.0 	 300.0 	 -300.0     	   -300.0     	    -12.99507
0.0 	 310.0 	 -300.0     	   -300.0     	    -12.63928
0.0 	 320.0 	 -300.0     	   -300.0     	    -12.11231
0.0 	 330.0 	 -300.0     	   -300.0     	    -11.17742
0.0 	 340.0 	 -300.0     	   -300.0     	    -8.834099
0.0 	 350.0 	 -300.0     	   -300.0     	    11.9515
0.0 	 360.0 	 -300.0     	   -300.0     	    158.2015
10.0 	 0.0 	 -300.0     	   -300.0     	    -150.5627
10.0 	 10.0 	 -300.0     	   -300.0     	    -150.5631
10.0 	 20.0 	 -300.0     	   -300.0     	    -150.5634
10.0 	 30.0 	 -300.0     	   -300.0     	    -150.5636
10.0 	 40.0 	 -300.0     	   -300.0     	    -150.5639
